design_id,family,nose_length,body_diameter,body_length,fin_span,fin_chord,fin_thickness,fin_sweep_deg,fin_offset,flare_angle_deg,flare_length,mach,aoa,Cd,Cl,Cm
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,1.5,0,2.8418027173,-0.0087727833747,0.00077783802656
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,1.5,2,1.4472409319,2.0603341693,-1.1094401501
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,1.5,4,2.3971893636,3.4299143496,-1.8329994545
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,1.5,6,2.3313294792,6.7526108465,-3.6124486409
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,1.5,8,1.5252850294,7.5838023936,-4.3542416157
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,2.5,0,2.1394767191,-0.0092274962152,0.0019662144255
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,2.5,2,1.9179705819,1.2288990742,-0.64782113328
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,2.5,4,2.4612421507,2.8336907056,-1.4819631516
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,2.5,6,1.8478046288,4.099803273,-2.0783239181
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,2.5,8,2.2824830325,6.5980334077,-3.5469999705
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,4.0,0,1.211023873,0.0046136626052,-0.00036784746263
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,4.0,2,1.1158344644,0.80328212892,-0.40683262436
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,4.0,4,1.4113641251,2.0419382544,-1.1696240466
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,4.0,6,1.2681914176,2.505883016,-1.287749741
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,4.0,8,1.792155726,4.6195631502,-2.8296169221
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,6.0,0,0.59973995064,0.00059483131464,-0.00019593003591
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,6.0,2,0.6145134414,0.45410210222,-0.22930603717
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,6.0,4,0.97806411871,1.1779685387,-0.64092424502
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,6.0,6,0.76930806821,1.4713924657,-0.80893915366
DES_0000,hypersonic,0.3995939298836726,0.2910068267365516,1.6366492510162536,0.0,0.0,0.0,0.0,0.0,10.97799295077614,0.3077901461005665,6.0,8,0.69010185505,1.7999764652,-1.0040095583
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,0.8,2,0.7473728371,-58.950002751,27.707133649
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,0.8,4,0.60424885796,-44.164863977,20.79812215
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,0.8,8,0.46540194283,94.842464215,-50.702129549
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,1.5,4,5.343715099,25.146539119,-18.468786252
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,1.5,6,2.0515690866,37.513387965,-21.442179895
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,1.5,8,3.3745868874,44.087053067,-23.763186309
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,2.5,0,11.340690346,-3.2009634713,-0.032565405345
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,2.5,2,8.944993646,12.19408975,-9.176209303
DES_0001,brahmos,2.43199338624788,0.3864940170378535,6.067221551257991,0.453423080863539,0.4594340143656903,0.0482482898320708,33.54070467727649,0.1098989713332465,0.0,0.0,2.5,8,2.1841676947,17.223347988,-8.0652732031
